name,categories,address,price,rating,cuisine1,cuisine2,cuisine3,temp,no_Of_cusines
ceylon restaurent,Asian Restaurant,المملكة العربية السعودية,Moderate,5.9,Asian Restaurant,,,2,1
bombay indian resturant,Indian Restaurant,"Al Malaz, الرياض, المملكة العربية السعودية",Moderate,6.9,Indian Restaurant,,,2,1
vista cafe,Café,"Jarir street (Between Ihsa & Salhu deen al ayubi), الماز 11541, المملكة العربية السعودية",Cheap,6.9,Café,,,2,1
"oregano pizzeria rawabi, exit 15",Pizza Place,"Rawabi, الرياض, المملكة العربية السعودية",Cheap,9.4,Pizza Place,,,2,1
grano coffee,Coffee Shop,"Sharq Plaza, الرياض 14251, المملكة العربية السعودية",Cheap,7.7,Coffee Shop,,,2,1
samra café,Café,"الرياض 14253, المملكة العربية السعودية",Cheap,7.9,Café,,,2,1
draft cafe,Café,"درافت كافية (الهيئة العامة للسياحة) (Ministry of Tourism), Diplomatic District 12512, المملكة العربية السعودية",Cheap,7.9,Café,,,2,1
quiznos sub,Sandwich Place,"Diplomatic Quarter (Al-Kindi Plaza), الرياض, المملكة العربية السعودية",Cheap,5.4,Sandwich Place,,,2,1
scalini resturant,Italian Restaurant,"Diplomatic Quarter, الرياض 12512, المملكة العربية السعودية",Moderate,7.7,Italian Restaurant,,,2,1
kalamata,Moroccan Restaurant,"Al Fazari Court, DQ (Near Scalini), الرياض 12512, المملكة العربية السعودية",Moderate,8.4,Moroccan Restaurant,,,2,1
sushi boutique,Sushi Restaurant,"الرياض, المملكة العربية السعودية",Moderate,7.4,Sushi Restaurant,,,2,1
tango cafe,Italian Restaurant,"AL MANAHIL المناهل, الرياض, المملكة العربية السعودية",Moderate,5.8,Italian Restaurant,,,2,1
tent fastfood um-al hamam,Fast Food Restaurant,"الرياض, المملكة العربية السعودية",Cheap,5.6,Fast Food Restaurant,,,2,1
green apple,Restaurant,"Princes Sultan St (First Turki rd), الرياض, المملكة العربية السعودية",Moderate,7.3,Restaurant,,,2,1
la mesa,Italian Restaurant,"Vivienda Hotel Villas (Turki 1- next to intersection with Thalia street), الرياض, المملكة العربية السعودية",Moderate,7.4,Italian Restaurant,,,2,1
sls truck,Food Truck,"الرياض 12312, المملكة العربية السعودية",Cheap,7.2,Food Truck,,,2,1
levit8,Coffee Shop,"Riyadh (Takhassusi St.), الرياض 12313, المملكة العربية السعودية",Cheap,9.1,Coffee Shop,,,2,1
booze speciality coffee bar,Coffee Shop,"Prince Sultan Bin Abdulaziz St (Prince Sultan Bin Abdulaziz Street), الرياض 12312, المملكة العربية السعودية",Cheap,7.6,Coffee Shop,,,2,1
yogi,"Sandwich Place, Salad Place","‎2849 طريق الأمير سلطان بن عبدالعزيز, الرياض 12312, المملكة العربية السعودية",Cheap,9.3,Sandwich Place, Salad Place,,1,2
glaze donuts,Donut Shop,"Prince Sultan Bin Abdulaziz St., الرياض 12312, المملكة العربية السعودية",Cheap,6.9,Donut Shop,,,2,1
let's pizza,Pizza Place,"التخصيصي تقاطع الثلاثين, الرياض 12311, المملكة العربية السعودية",Cheap,8.5,Pizza Place,,,2,1
pizza roma,"Pizza Place, Italian Restaurant","king fahad national library, king fahad road, الرياض 12211, المملكة العربية السعودية",Cheap,9.0,Pizza Place, Italian Restaurant,,1,2
bud's road,American Restaurant,"الرياض, المملكة العربية السعودية",Moderate,6.0,American Restaurant,,,2,1
aroma café,"Coffee Shop, Café","الرياض 12311, المملكة العربية السعودية",Cheap,8.3,Coffee Shop, Café,,1,2
shezan,Indian Restaurant,"العليا بجانب فندق الفيصليه (king fahad Road), الرياض, المملكة العربية السعودية",Moderate,8.0,Indian Restaurant,,,2,1
darbar indian cuisine,Indian Restaurant,"الرياض, المملكة العربية السعودية",Moderate,7.9,Indian Restaurant,,,2,1
sholay restaurant,Restaurant,"Olaya St., الرياض, المملكة العربية السعودية",Moderate,6.9,Restaurant,,,2,1
golden dragon,Chinese Restaurant,المملكة العربية السعودية,Cheap,6.3,Chinese Restaurant,,,2,1
yilmaz restaurant,Turkish Restaurant,"Olaya St.  Almousa Center, الرياض, المملكة العربية السعودية",Moderate,5.5,Turkish Restaurant,,,2,1
golden dragon chinese restaurant,Chinese Restaurant,"Olaya Street, الرياض, المملكة العربية السعودية",Cheap,6.8,Chinese Restaurant,,,2,1
"dear you,",Coffee Shop,"makkah al mukarramah branch rd, الرياض 12621, المملكة العربية السعودية",Cheap,9.2,Coffee Shop,,,2,1
bagel brothers - sandwich restaurant,"Bagel Shop, Café","2349 Makkah Al Mukarramah Branch Rd. (Opposite to King Fahad Medical City), الرياض, المملكة العربية السعودية",Cheap,8.6,Bagel Shop, Café,,1,2
giovanni l. - gelato de luxe,"Ice Cream Shop, Café","2349 Makkah Al Mukarramah Branch Rd. (Opposite to King Fahad Medical City), الرياض 12621, المملكة العربية السعودية",Cheap,8.6,Ice Cream Shop, Café,,1,2
