name,categories,address,lat,lng,price,likes,photos,tips,rating,ratingSignals
KINDAH COFFE,Coffee Shop,"الرياض 13254, المملكة العربية السعودية",24.83403,46.808781,Cheap,22.0,145,2,8.4,25.0
مندي العرابي,Middle Eastern Restaurant,المملكة العربية السعودية,24.83430695285956,46.813279860445135,Moderate,99.0,51,32,8.1,130.0
حاشي باشا,Restaurant,"الرياض 13254, المملكة العربية السعودية",24.83424641993562,46.810115501970365,Moderate,7.0,5,0,8.1,10.0
ماكدونالدز,Fast Food Restaurant,"حي الرمال, الرياض 13254, المملكة العربية السعودية",24.834187,46.809543,Cheap,1.0,8,0,7.3,1.0
الاستراحة (الشرحة),Coffee Shop,المملكة العربية السعودية,24.84285236838288,46.602736625160176,Cheap,11.0,24,2,7.0,14.0
بائع الشاي,Tea Room,"7692 Othman Bin Affan Road, الرياض 13327, المملكة العربية السعودية",24.840122,46.676081,Moderate,41.0,409,28,8.1,51.0
محامص ومطاحن النعمان,"Snack Place, Herbs & Spices Store","Narjis (Othman Bin Affan Road), الرياض, المملكة العربية السعودية",24.839769,46.677078,Cheap,12.0,6,0,7.3,17.0
Taghmees (تغميس),Breakfast Spot,"الرياض, المملكة العربية السعودية",24.843158410407813,46.679059876280355,Cheap,29.0,43,11,7.3,42.0
‪Pizza Hut (بيتزا هت),Pizza Place,"الرياض, المملكة العربية السعودية",24.835489339894806,46.679394556518936,Cheap,3.0,4,0,6.3,5.0
Waffls (وافلز),American Restaurant,"PNU, الرياض, المملكة العربية السعودية",24.841862231416147,46.71934259518735,Moderate,17.0,12,0,8.1,18.0
Sugar Sprinkles (رشات سكر),Cupcake Shop,"PNU (Station 4), الرياض, المملكة العربية السعودية",24.8425667293954,46.719906398534214,Moderate,80.0,122,12,8.1,99.0
VELA BAKREY (نوفلز بيكري),Bakery,"الرياض, المملكة العربية السعودية",24.8422145536415,46.7213678361121,Cheap,29.0,21,3,7.8,37.0
Novels bakery (نوڤلز بيكري),Bakery,المملكة العربية السعودية,24.842242949491812,46.72141554929616,Cheap,7.0,7,0,6.8,9.0
Java Cafe (جاڤا كافيه),"Café, Coffee Shop","A2, الرياض, المملكة العربية السعودية",24.84218368993217,46.721354916808615,Cheap,20.0,54,2,6.0,32.0
Dr.cafe (د.كيف),"Coffee Shop, Café","PNU (Student Amenities Center), الرياض, المملكة العربية السعودية",24.84217437254704,46.721845941540394,Cheap,49.0,79,6,6.0,76.0
Dose Cafe,"Coffee Shop, Café","Alriyadh Front (Airport Road), الرياض 13413, المملكة العربية السعودية",24.84032,46.732376,Cheap,903.0,9350,105,8.8,1101.0
MÜH,"Café, Coffee Shop","Riyadh Front, الرياض 13413, المملكة العربية السعودية",24.840065,46.731737,Cheap,434.0,5007,122,8.2,606.0
Draft Café,"Coffee Shop, Café","Riyadh Front, الرياض 13413, المملكة العربية السعودية",24.840554,46.733156,Cheap,326.0,2608,36,8.5,409.0
Urth Caffé,Café,"الرياض 13413, المملكة العربية السعودية",24.841918,46.732803999999994,Cheap,356.0,1464,26,9.1,410.0
giorgio (جورجيو),"Coffee Shop, Café","واجهة الرياض | Riyadh Front (Airport Road), الرياض 13413, المملكة العربية السعودية",24.83947,46.732479999999995,Cheap,98.0,597,29,7.9,138.0
Wagyu Burger,Burger Joint,"الرياض 13413, المملكة العربية السعودية",24.839966,46.732801,Cheap,236.0,910,43,8.5,305.0
CAMELLIA,Coffee Shop,"Riyadh Front 13413, المملكة العربية السعودية",24.840506,46.733216,Cheap,26.0,320,9,7.0,42.0
Steak House (ستيك هاوس),American Restaurant,"Riyadh Front (Airport Road), الرياض 13413, المملكة العربية السعودية",24.840709,46.733156,Moderate,21.0,269,5,7.0,35.0
Nine Soft Serve,Ice Cream Shop,"الرياض 13413, المملكة العربية السعودية",24.840341,46.733017,Cheap,198.0,1457,56,8.2,272.0
Outback,Steakhouse,"الرياض 13413, المملكة العربية السعودية",24.840037,46.732803,Very Expensive,23.0,125,5,7.8,31.0
La Rustica Pizzeria,Pizza Place,"الرياض, المملكة العربية السعودية",24.84021748611979,46.73339366912842,Cheap,104.0,324,26,7.4,164.0
Steak House Burgers,Burger Joint,"الرياض 13413, المملكة العربية السعودية",24.840711,46.733143,Cheap,8.0,96,0,7.4,10.0
Plank Sourdough Pizza,Pizza Place,"الرياض 13413, المملكة العربية السعودية",24.840012,46.733198,Cheap,8.0,55,12,6.3,28.0
Fire Gril,Mexican Restaurant,"الرياض 13413, المملكة العربية السعودية",24.841117,46.733131,Cheap,8.0,88,3,6.7,14.0
Burger Boutique (برجر بوتيك),Burger Joint,"Riyadh Front Near Founten (Airport Road), الرياض 13413, المملكة العربية السعودية",24.841399,46.733228999999994,Cheap,180.0,442,27,7.9,238.0
Kashounat Al Bait,Middle Eastern Restaurant,"الرياض 13413, المملكة العربية السعودية",24.840771,46.733233,Moderate,5.0,25,1,6.5,9.0
White Garden,"Restaurant, Café","الرياض 13413, المملكة العربية السعودية",24.840663,46.733055,Moderate,56.0,390,16,6.5,89.0
Porta Cafe,Coffee Shop,"الرياض 13412, المملكة العربية السعودية",24.840328,46.733185,Cheap,20.0,188,14,6.3,49.0
Nozomi To Go,Japanese Restaurant,"Riyadh front, الرياض 13413, المملكة العربية السعودية",24.841463,46.733172,Moderate,18.0,75,13,5.1,48.0
Rozana (روزنة),Coffee Shop,"الرياض 13413, المملكة العربية السعودية",24.84147,46.733534000000006,Cheap,84.0,503,22,8.2,110.0
Rozana,Coffee Shop,"(روزنة), الرياض 13413, المملكة العربية السعودية",24.841342,46.733325,Cheap,22.0,141,6,6.4,39.0
Falafel Pie (فطيرة الفلافل),Falafel Restaurant,"طريق الثمامة, المملكة العربية السعودية",24.840467711632808,46.748523197764555,Cheap,100.0,15,18,8.2,132.0
Moroccan Taste (المذاق المغربي),Café,المملكة العربية السعودية,24.840784964858297,46.748929479845785,Cheap,141.0,80,14,8.9,160.0
Burgerizzer,Burger Joint,"Thumamah, الرياض 13249, المملكة العربية السعودية",24.840633323687353,46.74870409161807,Cheap,35.0,47,6,7.5,47.0
هندسة القهوة,Café,"الرياض 13421, المملكة العربية السعودية",24.840728,46.747452,Cheap,6.0,35,3,7.2,8.0
Pizz Hut (بيتزا هت),Pizza Place,"طريق الثمامة, الرياض, المملكة العربية السعودية",24.84050755233613,46.74839115069431,Cheap,7.0,5,0,7.3,8.0
Coffee Engineering,"Coffee Shop, Café","الرياض 13421, المملكة العربية السعودية",24.840803,46.747814,Cheap,6.0,26,1,7.2,8.0
Maestro Pizza (مايسترو بيتزا),Pizza Place,"المونسية ، طريق الثمامة, المملكة العربية السعودية",24.840778936348844,46.74908259349034,Cheap,22.0,15,3,8.0,26.0
بيت الشواية,Middle Eastern Restaurant,"Al Tumammah Road, الرياض, المملكة العربية السعودية",24.840495863022625,46.74844369530944,Moderate,16.0,13,1,6.3,25.0
حنيذ حمود,Middle Eastern Restaurant,"طريق الثمامه بعد الدوار الاول على اليمين, المملكة العربية السعودية",24.840653743237887,46.74903164289788,Moderate,16.0,12,9,5.6,30.0
Starbucks (ستاربكس),Coffee Shop,"Thumamah Rd., الرياض 13423, المملكة العربية السعودية",24.842996598139703,46.75352712273524,Cheap,413.0,2558,58,9.2,472.0
Here Coffee (هير كوفي),Coffee Shop,"Thumamah St, الرياض 13249, المملكة العربية السعودية",24.84321,46.754204,Cheap,22.0,158,4,8.9,25.0
Kudu (كودو),"Fast Food Restaurant, Sandwich Place","Al Thumamah Rd (طريق الثمامه بعد دوار مطعم هرفي الاول الدوار ٢), الرياض, المملكة العربية السعودية",24.841736095447093,46.75106609804535,Cheap,43.0,73,9,6.3,77.0
Dunkin Donuts (دانكن دونتس),Donut Shop,"Ath Thumamah Road, الرياض, المملكة العربية السعودية",24.84211903733409,46.75147047973637,Cheap,180.0,141,9,8.9,207.0
alkhafeef (عالخفيف),Breakfast Spot,"Thumamh Road, النزهة, المملكة العربية السعودية",24.841843754558724,46.75147202073234,Cheap,8.0,39,3,7.2,11.0
domino's Pizza (دومينوز بيتزا),Pizza Place,"Al Thumamah Rd, Next to Orange Pharmacy, Al Munsiyah, الرياض 13249, المملكة العربية السعودية",24.841896,46.751577000000005,Cheap,43.0,19,5,8.1,53.0
عالخفيف alakhafeef,Restaurant,المملكة العربية السعودية,24.84191064908191,46.751399172165954,Moderate,15.0,19,4,6.7,23.0
Dewanyiath Alumra (ديوانية الامراء),Coffee Shop,"Thmammah Rd., الرياض, المملكة العربية السعودية",24.842335616349235,46.75231466446789,Cheap,6.0,9,5,6.4,10.0
Alameed (العميد),"Middle Eastern Restaurant, Breakfast Spot",المملكة العربية السعودية,24.84213541181564,46.75210620100045,Moderate,22.0,7,6,6.4,32.0
Burger King (برجر كنج),Fast Food Restaurant,"حي المونسية - طريق الثمامه, الرياض, المملكة العربية السعودية",24.84169062237632,46.75060881986935,Cheap,5.0,16,2,6.1,9.0
Ala Albaal (على البال),Middle Eastern Restaurant,"Thumamah St, الرياض, المملكة العربية السعودية",24.842056020450997,46.7514271039009,Moderate,26.0,24,6,6.7,38.0
HERE CAFÉ,Café,"Al Munsiyah, Ath Thumamah Road, Al Munsiyah،, Riyadh 13249 (Al Munsiyah, Ath Thumamah Road, Al Munsiyah،, Riya), الرياض 13249, المملكة العربية السعودية",24.843334,46.754154,Cheap,6.0,28,1,8.1,6.0
pro baguette brads cakes (برو باغيت),Bakery,"الرياض 13249, المملكة العربية السعودية",24.843292,46.754204,Cheap,32.0,139,7,8.9,38.0
فريج سويلم للمؤكولات الكويتيه,Middle Eastern Restaurant,"الرياض المونسيه (الثمامه), الرياض 13249, المملكة العربية السعودية",24.840271,46.748603,Moderate,5.0,1,0,6.4,8.0
Talada,"Sports Bar, Cave, Coffee Shop","الرياض, المملكة العربية السعودية",24.842522233662308,46.75119242857355,Cheap,14.0,77,4,7.0,20.0
Dunkin’ Donuts,Donut Shop,"الرياض 13256, المملكة العربية السعودية",24.840183,46.787319,Cheap,14.0,82,1,8.3,16.0
هرفي الرمال,Fast Food Restaurant,"الرياض, المملكة العربية السعودية",24.840387625975342,46.7865121998316,Cheap,11.0,14,0,8.6,11.0
dominos,Pizza Place,"الرياض 13254, المملكة العربية السعودية",24.83996,46.78708,Cheap,0.0,4,0,7.3,0.0
Shawarmezz (شاورمز),Sandwich Place,"الرياض, المملكة العربية السعودية",24.840266736411127,46.78735670792072,Cheap,6.0,9,3,6.8,9.0
Gardenia,"Café, Residential Building (Apartment / Condo)","Ar Rimal, الرياض, المملكة العربية السعودية",24.84135,46.798016,Cheap,8.0,0,0,7.3,9.0
لذائذ,Middle Eastern Restaurant,"الرياض, المملكة العربية السعودية",24.840498386984855,46.806830215626256,Moderate,5.0,1,0,6.2,12.0
ثومه Thoooma,Fast Food Restaurant,"الرياض 13254, المملكة العربية السعودية",24.840077907307965,46.80680009406324,Cheap,23.0,18,5,8.5,28.0
Sikk Alshawrmma (سيخ الشاورما),Fast Food Restaurant,"Alremmal (Wadi alsahel), الرياض, المملكة العربية السعودية",24.8398354661762,46.807334048515614,Cheap,13.0,4,0,7.0,20.0
Tim Hortons,Coffee Shop,"الرياض 13264, المملكة العربية السعودية",24.844506,46.829018,Cheap,15.0,11,3,8.6,19.0
Reef Café ريف كافيه (ريف كافيه),"Café, Mini Golf, Diner","Al Waseel Road (Al Ammariah), الرياض, المملكة العربية السعودية",24.84708508531661,46.46956905523611,Cheap,94.0,138,12,8.8,113.0
Half Million,Coffee Shop,"Qassim rd (Al-Arid), الرياض 13334, المملكة العربية السعودية",24.847093,46.604196,Cheap,340.0,3955,32,8.9,402.0
Loulou Al-Hamra Restaurant (مطعم لؤلؤة الحمراء),Middle Eastern Restaurant,"Qassim Rd, الرياض, المملكة العربية السعودية",24.84782786478065,46.60402306450767,Moderate,28.0,48,13,7.9,37.0
شاهي جمر أبو وليد,"Coffee Shop, Tea Room","طريق القصيم, 13334, المملكة العربية السعودية",24.849213,46.603154,Cheap,6.0,13,0,7.3,8.0
Sunset Cafe,Café,"الرياض, المملكة العربية السعودية",24.846434,46.604855,Cheap,7.0,5,0,7.9,8.0
ديوانية الأمراﺀ,Café,"AlQassim Rd (طريق خط القصيم), الرياض, المملكة العربية السعودية",24.848997762502204,46.60318723020002,Cheap,60.0,32,11,7.6,81.0
SUBWAY (صب واي),Sandwich Place,"الرياض 13334, المملكة العربية السعودية",24.848112,46.603718,Cheap,0.0,8,0,7.9,0.0
burgerizzr,Burger Joint,"الرياض 13334, المملكة العربية السعودية",24.846609,46.604124,Cheap,10.0,27,0,7.1,15.0
مطعم الرومانسية,Middle Eastern Restaurant,"طريق القصيم, الرياض 13334, المملكة العربية السعودية",24.848753,46.603362,Moderate,0.0,7,1,7.1,3.0
قهوة الواجهة,Café,المملكة العربية السعودية,24.848894870484735,46.68235433540988,Cheap,8.0,1,0,5.6,15.0
Starbucks,Coffee Shop,"Princes Noura, الرياض, المملكة العربية السعودية",24.84632,46.720787,Cheap,0.0,0,0,8.3,0.0
Starbucks (ستاربكس - مبنى الإدارة),Coffee Shop,"PNU Library, الرياض, المملكة العربية السعودية",24.8466,46.72485,Cheap,53.0,339,4,8.3,63.0
Starbucks (ستاربكس),Coffee Shop,"الرياض 38394, المملكة العربية السعودية",24.846956955108627,46.7240500997011,Cheap,437.0,861,22,8.5,515.0
Le Relais De L’entrecôte (لوروليه دو لانتركوت),French Restaurant,"الرياض 13413, المملكة العربية السعودية",24.842797,46.733909999999995,Expensive,8.0,20,0,8.2,8.0
